airport_id,Continent,Country,Region,City,Name,Info,Description,Website,Facebook,X,YouTube,LinkedIn,Email,Phone,IATA,ICAO,Address,logo,background_image,Google_Maps_Link
AP001,North America,USA,California,Los Angeles,Los Angeles International Airport,LAX - Gateway to the Pacific,One of the busiest airports in the world,https://www.flylax.com,https://facebook.com/laxairport,https://twitter.com/flyLAX,https://youtube.com/laxairport,https://linkedin.com/company/lax,info@lax.com,+1-855-463-5259,LAX,KLAX,"1 World Way, Los Angeles, CA 90045",https://www.flylax.com/images/logo-lax.png,https://www.flylax.com/images/bg-lax-terminal.jpg,"https://maps.google.com/?q=33.9416,-118.4085"
AP002,Europe,Germany,Bavaria,Munich,Munich Airport,MUC - Where efficiency meets comfort,Modern airport with alpine views,https://www.munich-airport.com,https://facebook.com/munichairport,https://twitter.com/MUC_Airport,https://youtube.com/munichairport,https://linkedin.com/company/munich-airport,service@munich-airport.com,+49-89-97500,MUC,EDDM,"Franz Josef Strauss Ring, 85356 München",https://www.munich-airport.com/images/logo-muc.svg,https://www.munich-airport.com/images/bg-muc-alps.jpg,"https://maps.google.com/?q=48.3538,11.7861"
AP003,Asia,Japan,Kanto,Tokyo,Tokyo Haneda Airport,HND - Domestic & international hub,Close to downtown Tokyo,https://www.haneda-airport.jp,https://facebook.com/haneda.airport,https://twitter.com/haneda_airport,https://youtube.com/hanedaairport,https://linkedin.com/company/haneda-airport,info@haneda-airport.jp,+81-3-5757-8111,HND,RJTT,"3-chome-1-1 Oi, Ota City, Tokyo",https://www.haneda-airport.jp/common/img/logo-hnd.png,https://www.haneda-airport.jp/images/bg-hnd-night.jpg,"https://maps.google.com/?q=35.5494,139.7806"
AP004,Africa,Kenya,Nairobi Region,Nairobi,Jomo Kenyatta International,NBO - East Africa's main hub,Named after Kenya's first president,https://www.kaa.go.ke/jkia,https://facebook.com/jkia.kenya,https://twitter.com/JKIA_Kenya,https://youtube.com/jkia,https://linkedin.com/company/jomo-kenyatta-airport,jkia@kaa.go.ke,+254-20-8888888,NBO,HKJK,"Airport Rd, Nairobi",https://www.kaa.go.ke/images/logo-nbo.png,https://www.kaa.go.ke/images/bg-nbo-terminal.jpg,"https://maps.google.com/?q=-1.3192,36.9250"
AP005,South America,Brazil,São Paulo,São Paulo,São Paulo–Guarulhos International,GRU - Brazil's busiest airport,Major hub for LATAM and international flights,https://www.gru.com.br,https://facebook.com/aeroportogru,https://twitter.com/aeroportogru,https://youtube.com/gruairport,https://linkedin.com/company/gru-airport,atendimento@gru.com.br,+55-11-2445-2945,GRU,SBGR,"Av. Mal. Eduardo Gomes, 2555 - Aeroporto, Guarulhos",https://www.gru.com.br/images/logo-gru.svg,https://www.gru.com.br/images/bg-gru-runway.jpg,"https://maps.google.com/?q=-23.4356,-46.4731"
AP006,Oceania,Australia,New South Wales,Sydney,Sydney Kingsford Smith Airport,SYD - Australia's oldest airport,Located near Botany Bay,https://www.sydneyairport.com.au,https://facebook.com/sydneyairport,https://twitter.com/SydneyAirport,https://youtube.com/sydneyairport,https://linkedin.com/company/sydney-airport,enquiries@sydneyairport.com.au,+61-2-9667-9111,SYD,YSSY,"Airport Dr, Mascot NSW 2020",https://www.sydneyairport.com.au/images/logo-syd.png,https://www.sydneyairport.com.au/images/bg-syd-bay.jpg,"https://maps.google.com/?q=33.9461,151.1772"
AP007,North America,Canada,Ontario,Toronto,Toronto Pearson International,YYZ - Canada's largest airport,Named after former Prime Minister Lester B. Pearson,https://www.torontopearson.com,https://facebook.com/torontopearson,https://twitter.com/YYZAirport,https://youtube.com/yyzairport,https://linkedin.com/company/toronto-pearson,info@gtainc.ca,+1-416-247-7678,YYZ,CYYZ,"6301 Silver Dart Dr, Mississauga, ON L5P 1B5",https://www.torontopearson.com/images/logo-yyz.svg,https://www.torontopearson.com/images/bg-yyz-sunset.jpg,"https://maps.google.com/?q=43.6772,-79.6306"
AP008,Europe,France,Île-de-France,Paris,Charles de Gaulle Airport,CDG - France's largest airport,Named after former president Charles de Gaulle,https://www.parisaeroport.fr,https://facebook.com/parisaeroport,https://twitter.com/parisaeroport,https://youtube.com/parisaeroport,https://linkedin.com/company/paris-airport,contact@parisaeroport.fr,+33-1-70-36-39-50,CDG,LFPG,"Roissypôle, Tremblay-en-France",https://www.parisaeroport.fr/images/logo-cdg.png,https://www.parisaeroport.fr/images/bg-cdg-terminal.jpg,"https://maps.google.com/?q=49.0097,2.5479"
AP009,Asia,India,Maharashtra,Mumbai,Chhatrapati Shivaji Maharaj International,BOM - Gateway to India,Named after Maratha king Chhatrapati Shivaji,https://www.csmia.in,https://facebook.com/csmumbai,https://twitter.com/CSMIAAirport,https://youtube.com/csmia,https://linkedin.com/company/csmia,feedback@csmia.in,+91-22-6685-1010,BOM,VABB,"Sahar Rd, Andheri East, Mumbai",https://www.csmia.in/images/logo-bom.svg,https://www.csmia.in/images/bg-bom-night.jpg,"https://maps.google.com/?q=19.0887,72.8681"
AP010,Africa,South Africa,Gauteng,Johannesburg,OR Tambo International Airport,JNB - Africa's busiest airport,Named after anti-apartheid leader Oliver Tambo,https://www.airports.co.za,https://facebook.com/ortambointl,https://twitter.com/ORTamboAirport,https://youtube.com/ortambointl,https://linkedin.com/company/acsa,customercare@airports.co.za,+27-11-921-6911,JNB,FAOR,"Jones Rd, Kempton Park, Johannesburg",https://www.airports.co.za/images/logo-jnb.png,https://www.airports.co.za/images/bg-jnb-terminal.jpg,"https://maps.google.com/?q=-26.1392,28.2460"
